,Handle,Datetime,Content,Title,Compound,Pos,Neg,Neu,URL
0,@katyperry,2018-12-05 21:12:34.107603,"Kesha and Lady Gaga's text messages about Katy Perry from more than two years ago have been revealed as part of Kesha's ongoing legal battle with music producer Dr. Luke. In new court documents from Dr. Luke's defamation suit against Kesha, first obtained by … [+2277 chars]",Texts from Dr. Luke's $50 million defamation lawsuit reveal that Kesha and Lady Gaga called Katy Perry 'mean',-0.2732,0.031,0.054,0.915,https://www.thisisinsider.com/kesha-and-lady-gaga-call-katy-perry-mean-in-texts-in-dr-luke-defamation-lawsuit-2018-11
1,@katyperry,2018-12-05 21:12:34.107603,"Katy Perry's relationship with Orlando Bloom has had its very public ups and downs, but the singer just made a grand gesture showing her feelings towards him. Perry auctioned off a date with her actor boyfriend at a charity event, only to swoop in at the last… [+1629 chars]","Katy Perry outbid a fan to win a date with her own boyfriend Orlando Bloom, and people can't decide how they feel about it",0.8271,0.149,0.0,0.851,https://www.thisisinsider.com/katy-perry-outbids-fan-to-win-date-with-boyfriend-orlando-bloom-2018-12
2,@katyperry,2018-12-05 21:12:34.107603,"YouTube is preparing to move its original programming out from behind its paywall. According to reports from The Hollywood Reporter and Variety on Monday, which the company confirmed, Google’s video site will change its strategy around originals starting next… [+2514 chars]",YouTube Originals will become free and ad-supported by 2020,0.3182,0.054,0.0,0.946,http://techcrunch.com/2018/11/28/youtube-originals-will-become-free-and-ad-supported-by-2020/
3,@katyperry,2018-12-05 21:12:34.107603,"Englands women celebrated the 100th cap of their fly-half Katy Daley-Mclean with an emphatic victory over the USA at Allianz Park last night in miserable, rainy conditions in north London. But Simon Middletons new-look team had some unexpected help with the U… [+4324 chars]",Katy Daley-Mclean’s big night lit up as Red Roses overpower USA,0.5647,0.12,0.066,0.814,https://www.theguardian.com/sport/2018/nov/09/england-women-rugby-union-usa-allianz-park-red-roses
4,@katyperry,2018-12-05 21:12:34.107603,"At least 44 people have died from the raging wildfires consuming parts of California, making them the deadliest fire disaster in the states history. State officials say a prolonged drought created a recipe for destruction, especially for the town of Paradise,… [+1997 chars]",Yahoo News Explains: The deadliest wildfires in California history,-0.9451,0.037,0.317,0.646,https://www.yahoo.com/news/yahoo-news-explains-deadliest-wildfires-california-history-163349215.html
5,@katyperry,2018-12-05 21:12:34.107603,F ans of low-grade pop beef may be titillated by the potential implications of Katy Perry pipping Taylor Swift to be named Forbess highest-paid woman in music for 2018. But the real intrigue and a potential challenger to their status lies further down Forbess… [+2553 chars],"Helene Fischer, schlager superstar: the richest singer you’ve never heard of",-0.3716,0.066,0.077,0.857,https://www.theguardian.com/music/shortcuts/2018/nov/21/helene-fischer-schlager-superstar-the-richest-singer-youve-never-heard-of
6,@katyperry,2018-12-05 21:12:34.107603,"A sk anyone to name an Alanis Morissette album and, unless they are wearing an Alanis Morissette T-shirt, theyll say Jagged Little Pill. Why wouldnt they? That 1995 classic shifted 33m copies globally, won five Grammys, redefined the word ironic and paved the… [+2474 chars]",Thank you consequence: did Alanis Morissette invent wellbeing?,0.4939,0.078,0.032,0.89,https://www.theguardian.com/music/2018/nov/23/thank-you-consequence-did-alanis-morissette-invent-wellbeing
7,@katyperry,2018-12-05 21:12:34.107603,"What, you thought a mediocre album and a disastrous rollout were going to stop her? Never that. Katy Perry may have caught a brick with the whole Witness debacle. But she has been in our lives for a decade-plus now, and it’s going to take more than a hiccup l… [+1113 chars]",Katy Perry – “Cozy Little Christmas”,-0.4678,0.0,0.083,0.917,https://www.stereogum.com/2023002/katy-perry-cozy-little-christmas/music/
8,@katyperry,2018-12-05 21:12:34.107603,"As wildfires rage on both ends of California, forcing 250,000 from their homes, leaving nine dead and destroying thousands of homes and acres of land, our nations Estranged Stepfather in Chief, Donald Trump took to Twitter to blame it all on mismanagement of … [+1323 chars]","You Tell Him, Katy",-0.9313,0.0,0.253,0.747,https://jezebel.com/you-tell-him-katy-1830358907
9,@katyperry,2018-12-05 21:12:34.107603,"Despite the fact that her recent album Witness was a critical flop (which she knows), Katy Perry still managed to become this years highest paid woman in music through persistence, touring, and American Idol. According to Forbes, she beat out both Beyoncé (wh… [+1163 chars]","Katy Perry Is the Highest Paid Woman in Music, Despite Album Flop",-0.5719,0.0,0.101,0.899,https://themuse.jezebel.com/katy-perry-is-the-highest-paid-woman-in-music-despite-1830586950
10,@katyperry,2018-12-05 21:12:34.107603,"How has America changed since the former first lady was little? Is she still dancing? She takes questions from pop stars, politicians, artists and schoolchildren How did your mother, Marian Robinson, help you to be effective as a first lady? Carole King, sing… [+17039 chars]","'Ha, I love this question!': Michelle Obama interviewed by Miley Cyrus, Katy Perry, Sadiq Khan and more",0.7461,0.131,0.0,0.869,https://www.theguardian.com/us-news/ng-interactive/2018/nov/17/michelle-obama-interviewed-miley-cyrus-katy-perry-becoming
11,@katyperry,2018-12-05 21:12:34.107603,"Poppy Cleall (right) celebrates her try Autumn internationals England (15) 27 Tries: Davies (2), Cleall, Smith, Scott Cons: Daley-Mclean Canada (7) 19 Tries: Tessier, Alarie, Holtkamp Cons: Miller, Harvey England won for the second week in a row with a battli… [+4018 chars]",England Women battle to victory over Canada,0.8126,0.159,0.0,0.841,https://www.bbc.co.uk/sport/rugby-union/46254785
12,@katyperry,2018-12-05 21:12:34.107603,"Katy Perry wanted to keep the full transcript of her deposition in the Dr. Luke sealed, arguing that its importance was tangential to the case and could be subject to intense scrutiny and gossip if released. But on Thursday The Hollywood Reporter relayed that… [+1813 chars]",Judge Denies Katy Perry's Request to Keep Deposition in Dr. Luke Case Sealed,-0.1154,0.06,0.069,0.87,https://jezebel.com/judge-denies-katy-perrys-request-to-keep-deposition-in-1830328019
13,@katyperry,2018-12-05 21:12:34.107603,"Katy Perry slammed Donald Trump over the president’s “heartless” response to the California wildfires. As a trio of wildfires scorched thousands of acres of land, forced evacuations and killed at least nine people, Trump took to Twitter Friday night to blame … [+1628 chars]",Katy Perry Slams Donald Trump Over ‘Heartless’ California Wildfires Tweet,-0.872,0.0,0.202,0.798,https://www.rollingstone.com/music/music-news/katy-perry-donald-trump-california-wildfires-754522/
14,@katyperry,2018-12-05 21:12:34.107603,"Katy Perry unveiled a new holiday song, “Cozy Little Christmas,” that’s available exclusively via Amazon Music. The track can be purchased for $1.29, while it’s also available to stream for Amazon Music subscribers. A 30-second preview of the track is availab… [+661 chars]",Katy Perry Unwraps New Holiday Song ‘Cozy Little Christmas’,0.6249,0.138,0.0,0.862,https://www.rollingstone.com/music/music-news/katy-perry-new-holiday-song-cozy-little-christmas-756727/
15,@katyperry,2018-12-05 21:12:34.107603,"Forbes’ annual ranking of the best-paid women in music is out this week, and the name atop this year’s list is Katy Perry — who pulled in $83 million between June 2017 and July 2018, beating out Taylor Swift (who netted $80 million) and Beyoncé ($60 million),… [+2149 chars]","Katy Perry Is 2018’s Highest-Paid Female Artist, But Not Because of Albums",-0.296,0.035,0.059,0.906,https://www.rollingstone.com/music/music-news/katy-perry-highest-paid-woman-music-759433/
16,@katyperry,2018-12-05 21:12:34.107603,"A raft of Hollywood stars took to social media on Saturday to rip into President Donald Trump for a pre-dawn tweet on Saturday in which he blamed gross mismanagement of the forests in California for a trio of deadly wildfire s blazing across the state, and th… [+5067 chars]",Trump's fire tweet infuriates California celebrities; Hollywood strikes back,-0.7351,0.0,0.126,0.874,https://abcnews.go.com/Entertainment/trumps-fire-tweet-roils-california-celebrities-hollywood-strikes/story?id=59113552
17,@katyperry,2018-12-05 21:12:34.107603,"For Katy Daley-Mclean the wheel really has turned the full circle. Eleven years ago Englands fly-half made her first international appearance against Scotland in St Albans, coming off the bench where she had been sitting with another woman player about to mak… [+3367 chars]",Katy Daley-Mclean prepares to face USA and reach century of England caps,0.0,0.0,0.0,1.0,https://www.theguardian.com/sport/2018/nov/08/england-women-rugby-usa-preview-loughborough-lightning-katy-daley-mclean
